#User	static	max-min	1	0.9	0.8	0.7	0.6	0.5	0.4	0.3	0.2	0.1	0
68	62571	90450	88048	87298	86414	85910	86033	85772	85672	85723	85799	85798	85843
69	62855	90450	88124	87450	86439	85962	86088	85897	86052	86140	86148	85961	86178
70	63736	90450	88193	87767	86454	86139	86152	86013	86125	86160	86168	86121	86050
71	64238	90450	88206	87554	86776	86208	86219	86149	86144	86230	86206	86141	86218
72	64749	90426	88335	87722	86821	86369	86239	86168	86190	86283	86238	86211	86220
73	64921	90450	88439	87753	86921	86547	86373	86262	86223	86336	86291	86264	86235
74	66519	90450	88509	87929	87086	86566	86506	86375	86286	86365	86344	86498	86285
75	66586	90450	88551	87944	87083	86647	86539	86428	86339	86374	86372	86317	86338
76	68076	90441	88600	88078	87365	86677	86563	86456	86368	86379	86382	86346	86367
77	68143	90441	88853	88104	87469	86738	86538	86465	86377	86401	86387	86355	86376
78	68343	90453	89057	88178	87767	86739	86540	86471	86383	86515	86467	86361	86382
79	69328	90441	89011	88431	87589	86766	86540	86485	86455	86471	86520	86448	86472
80	70294	90447	89082	88518	87611	86775	86566	86570	86516	86534	86556	86494	86515
81	72196	90483	89114	88748	87611	86749	86636	86556	86572	86512	86554	86530	86551
82	73285	90510	89256	88820	87613	86782	86637	86555	86552	86548	86818	86528	86549
83	76120	90460	89658	88950	87612	86810	86636	86556	86550	86546	86643	86726	86747
84	77757	90452	89848	88958	87617	86827	86989	86593	86629	86683	86941	87005	87134
85	79678	90433	89720	88954	87612	86868	86746	86953	86947	86996	86745	86938	86949
86	80155	90459	90033	88960	87618	87014	86970	86901	86883	87037	86836	86931	87038
87	80879	90453	90095	88962	87660	87014	86894	86897	87188	86914	86975	86995	87373
88	84184	90455	90116	88980	87697	87025	86887	86890	87022	86940	87221	87265	87159
89	85069	90479	90167	88979	87902	87484	87012	87321	87177	87190	87284	87349	87264
90	85471	90443	90215	88999	87748	87315	87131	87173	87205	87353	87416	87481	87509
91	86700	90444	90217	89003	87897	87420	87356	87663	87767	87767	87767	87523	87507
92	86895	90441	90221	89003	87845	87483	87297	87767	87549	87534	87522	87510	87523
93	87302	90445	90249	89019	87857	87463	87329	87512	87579	87564	87542	87767	87496
94	87344	90479	90241	89089	87897	87476	87474	87542	87725	87751	87635	87511	87497
95	87408	90452	90247	89108	87992	87767	87502	87663	87764	87752	87730	87595	87541
96	87762	90418	90312	89308	88014	87517	87767	87663	88165	88256	88106	87956	87806
97	87991	90467	90375	89153	88743	88481	88471	88444	88284	88593	88653	88653	88648
98	89036	90448	90386	89488	89274	89013	88943	88873	88803	88733	88663	88593	88513
99	89733	90449	90389	89653	89294	89822	89926	89829	89708	89568	89426	89276	89126
100	89772	90448	90450	90397	89603	90037	90450	90450	90450	90450	90450	90450	90424
